title,reviewer,rating,date,review,helpful,total_votes,show_title
Simply NOT a classic. Does not age well.,natekowalskitattoo,1,2 November 2016,"I am doing a 2016 review of this movie. I was a child when this movie came out and I personally loved it at that time. I am reviewing this movie now in 2016 for the young generation of today.I have a young son and his two friends were over, we were looking through movies to watch and they all decided on this. We got maybe 20 minutes in and the CHILDREN...not me, decided to turn it off. This movie simply does not stand the test of time.Some have said the animation is very good...well by the standard of today it is not, also gauging by the kids reactions the first comments were 'this looks old'. The camera is jerky and hard to watch, the scenes are all dark and bland,""halloween town"" looks like a little cardboard set (not in a cool stop motion animation type of way). The animation department could never fit more than a few characters on the screen at the same time.I do not really know how this movie became some cult phenomenon but watching it with children in 2016 it is flat and boring. The animation is underwhelming and stale. I like the songs but the kids did not.I give it one out of ten because children will simple be bored with a movie like this now. We switched the choice to Power Rangers Christmas and they all liked that a lot more.",8,33,The Nightmare Before Christmas
Sad and Pathetic Art.,Counterparts42,1,6 June 2020,"If you're looking to waste 1 hour and 16 minutes of your life, then look no further. I can't get that time back but you can avoid my mistake. This torrid excuse of a movie is weird for the sake of being weird, this mess of a film masquerades as art. This is actually a flaming dumpster fire of poor writing and creativity, just awful. May god have mercy on my soul for wasting a perfectly good hour and more of my life for watching it. The only redeeming factor is that there is a forum in which I can rate it 1 star and express how terrible it is.",11,31,The Nightmare Before Christmas
Mediocre and Boring,niziirokanojo,1,2 October 2019,I may be the only who thinks this movie is extremely overrated and over hyped. It was boring. Mediocre at best.,11,30,The Nightmare Before Christmas
"Nice idea, but poorly executed.",smashattack,5,8 September 2002,"Jack Skellington is the King of Halloween Town.  He reminds me of a cross of The Neverhood's Klaymen and Skullmonkeys'... well, skullmonkeys.  Mr. Skellington has a great voice, too.  He's tall and thin, just what all women want in a guy.And atop his shoulders is a skull.To put it plainly, Jack Skellington is really cool.  His voice actor, Chris Sarandon (The Princess Bride's Prince Humperdinck) is marvelous.  His singing actor, Danny Elfman, is one of my favorite composers.But this review is not about Jack Skellington.  No, unfortunately, I have to talk about the movie as well.  Spoilers may arise.  If they do, forgive me.I enjoyed the concept of The Nightmare Before Christmas.  Jack Skellington is bored with Halloween and wants to try something new.  He stumbles into Christmas Town (and sings the best song in the movie... I'm guessing it is titled ""What's This?"" but I could be wrong), where he finds strange, yet not so frightening ideas.  This sparks a new motive for Jack--improve Christmas!Now, from here on out, there are SO many things this movie could do.  Yet it doesn't do much with it.  For most of the film we see them preparing for Christmas and, to be quite honest, it gets rather boring.  The clay is really fun to look at but it's not enough to keep one interested.  The movie doesn't have enough story.  The plot is great, yes, but the actual events could have been better.The climax is pretty exciting, what with Jack facing Oogie Boogie (is that his name?) and all.  But that was hardly enough!  The confrontation was very short.  It was intense for the few seconds it occurred, but was like Attack of the Clones' climax.  Cut way too short.I found the characters creepy and frightening--my stomach churned at the sight of some of them.  Greg Proops, marvelous actor in Whose Line is it Anyway?, is in there somewhere, but I couldn't hear is voice.  Pity.  He wasn't in it enough.I'd say that The Nightmare Before Christmas is excellent and very enjoyable, but I can't.  I'd love to, but I can't.  The singing was tiresome (except for that one song I mentioned) and the story too shallow.  I'm going to say it was fair, but not one to drool over.  Not awful, but not all that great, either.Although I would suggest it.  It's nice to see once or maybe even twice.",12,29,The Nightmare Before Christmas
The Nightmare Before Christmas,ProjectAnomaly,8,26 September 2019,"I didn't like this as a kid, but I recently rewatched it and found a new beauty in it. The animation and music have aged extremely well, and the whole thing is a good way to teach kids about cultural sharing and appropriation.",10,28,The Nightmare Before Christmas
"All flash, no smash",davw-6,2,8 December 2008,"The story? Terrible. The duologue? Terrible. The songs? Good, but were restricted due to a weak plot. The animation? Absolutely fantastic! A wonderful looking film, and has some really interesting characters. It's really too bad that they are subjected to such a weak plot--Sad pumkin king wants to kidnap santa and accidentally ruins Christmas. Would have been fantastic if there were some bumps along the way, but that's really just about it- kidnap santa, ruin Christmas, and look good doing it. I do like Burton's work, and really appreciate the painstaking effort that must have gone into producing such mindblowing visuals, but a movie with a weak plot is nothing more than... a weak movie. Oh well. As a movie, this is terrible... as a visual treat this is really hard to top.... I give it a 2 simply because I am rating the movie itself....",8,28,The Nightmare Before Christmas
"great eye candy, yet thin story",weerdo1482,,22 October 2001,"This movie has a very simple basic story. In a little warped town, known as Halloween town, lives Jack Skelington. Jack, aka the Pumpkin King, grows tired and bored of his role in the world, organizing Halloween each year. So, he goes in search of something new and different to do to end his slump. He discovers Christmas town, and decides he wants to do that instead. From the start, its pretty obvious that the citizens or Halloween town can't do Christmas and begin warping and dementing it totally out of recognition. there is also a sub plot about a patchwork girl who is also trying to escape her role in the world. She is falls in love with Jack from a far. Anymore and I would spoil it.The plot, simple fairy tale, a bit of human quality ie trying to escape the boring blue collar life. but, really the plot has very little to do with what makes this movie special. This is the very first movie to consist completely of stop motion. Probubly the most grueling film technique ever, stop motion requires small figures that are postioned then photographed then repositioned and rephotograped over and over. This process is  takes hours to create even a minute of footage. So, that exsplains alot about why each shot is so well crafted, since they spent weeks puting them together. This technique makes it very original, and very unique In a time when most movies were trying new computer animation and looking for a more realistic look. the filmmakers choice to go back to the herky jerky look of stop motion, was a bold and very different idea.Some of the things you will notice is there aren't really that many charactors. halloween town really has only about 10 or 15 residents, probably because the cost of creating hundreds of little firgures for every expression and movement they have. Jack alone probably had over 600 heads, for all the movements of his face. but, even with limitations like these, the movie succeeds in just about everything I think it set out to do. Its creepy and weird, scary and warped, yet has a kind of strange nice feeling. You have empathy for the charactors, even though they are dark and crazy. And if for no other reason, watch this movie for the cinematography. The sets are wonderful, the characters are cool looking, the music is great, and every shot is masterful. I find it easy just to forget the story and watch the pretty pictures.Is it a halloween spooky movie, or a warm christmas classic? who cares, its cool to watch!",12,28,The Nightmare Before Christmas
What does it mean? What does it mean?,lastliberal-853-253708,8,2 November 2014,"How appropriate that I start holiday viewing with a film that bridges Halloween and Christmas.Now, I am not a fan of animated films, but this isn't the usually animation you find in Disney films.It is call stop-motion animation, and it looks very realistic.Now, Jack Skellington from Halloweentown (voiced by Chris Sarandon and Danny Elfman (the singing), is really getting bored with Halloween - the same thing every year, and he goes walking in the forest and enters the door for Christmastown.He gets excited about Christmas, and tries to institute it in Halloweentown. Unfortunately, he doesn't understand the concept and it turns out badly. They even kidnap Santa Claus (voiced by Edward Ivory).And, can you believe they even wove a love story in here.The film is full of interesting characters, of course, and some really good music. It is a visual feast.",16,26,The Nightmare Before Christmas
A nightmare that I want to never watch again,TheSeaLion,2,11 July 2014,"At a mere seventy-six minutes it feels like two hours. ""The Nightmare Before Christmas"" is a stop-motion animated film that has some beautifully flawless animation, creative designs for creatures and locations, and an interesting premise to it, but barely anything happens within the entire running time. The film is filled with uninteresting characters that are more action than motivation, songs that do not convey much, and some parts that are never explained.Starting out in Halloween Town, the festivities of another Halloween end, but for the Pumpkin King Jack Skellington (Chris Sarandon) has grown to be tired of Halloween, and goes walking through the forest. In the forest, he comes across a group of trees with doors designed in the shape of holiday objects on them. Jack goes through the Christmas tree shaped door and ends up in Christmas Town. Jack returns to Halloween Town with his knowledge of Christmas, wanting to make everyone else in town understand it.From this point on, the plot gets too complicated to properly explain because Jack's plans on what to do with his new knowledge of Christmas changes every ten minutes. First, he wants to inform the town about it at a town meeting. Then, he wants to make Christmas happen by kidnapping Santa (Edward Ivory) to keep him out of the way. There is no motivation to back up why Jack is doing any of this, yet he still does it, making him more action than motive. When he brings Christmas to the human world, he brings Halloween instead with terrifying presents, but there is no reason why he should have done this.The musical numbers in this film are some of the most useless parts of the movie, which makes its very short run-time feel long. There are several musical numbers throughout the film, many of them several minutes long, and they barley convey anything. In Jack's song at the beginning of the movie, all we learn is that he is tired of Halloween, but that song runs for at least three minutes. Other songs gives out no information about the characters or is working towards a plot point, it is basically just a pointless musical number that are redundant. The opening song is all of the monsters singing about what they are and how it's Halloween. I'm confused. What are all of these creatures? Just have them each tell me what they are in a few stanzas of a song and then we'll put it all together to make a four minute song. That'll get it across to the audience.How the worlds operate is never explained, nor does it make any sense. It is never stated specifically how the worlds are connected or if the other worlds are even aware of the other worlds existences. Jack apparently has no idea about the other holiday worlds, but the Christmas world knew of the human world. Then, all of the worlds are shown to be connected through some doorways in trees, yet Jack gets from the human world to Halloweentown via an entrance in a graveyard later on. Jack also flew into the sky while in Halloweentown in a sled pulled by skeleton reindeer, which would not fit through any of the doors or into the graveyard entrance, so how did he get to the human world? Even with all of these other problems, the most surprising of them all is how pointless several of the characters are. Sally, as I mentioned above, is supposedly the second most important character in the whole movie after Jack, but she is pointless. All she does is run away from her creator, the Evil Scientist (William Hickey) and have a premonition involving Jack's Christmas. She also has a pointless romance with Jack that literally comes out of nowhere at the end and is pointless to the characters and the story. With Sally being pointless to the story, it also makes the Evil Scientist who made her pointless to have in the film.""The Nightmare Before Christmas"" is a movie that I'm barely sure of what happened in it. So few things of importance actually happens in the movie, and when they do, there is almost no motivation behind it. Bad musical numbers, pointless characters, action over motive, and set in a world that makes no sense of how it operates, this film is a nightmare that I want to never watch again.",10,25,The Nightmare Before Christmas
Truly awful!,alexateddy-66186,1,29 March 2021,"I walked out of the cinema after about 40 minutes, when I went to see this film approximately 25 years ago. I attempted to watch it again at Christmas, thinking maybe I was too impulsive or didn't really give it a chance. Turns out I was right the first time. Who gives Tim Burton money to make films? I hope they can sleep at night. Definitely not for me...",7,24,The Nightmare Before Christmas
Saw this in the theater. It couldn't end fast enough,dressel138,1,8 October 2019,Saw this when it was first released and I remember being completely bored and waiting for the film to end. I saw Disney's Not So Scary Halloween party at Disney World this week and that movie is the basis for this year's theme. Yeah nothing has changed still hate it.,7,22,The Nightmare Before Christmas
Quit the damn singing,crazyshychick,1,18 December 2021,"It's annoying. That's all there is to say. Every time Jack sings, he's so stressed out. Like take a pill man. The quick pace music constantly going on in the background is enough to drive anyone nuts.",4,20,The Nightmare Before Christmas
Great Visuals Shadowed by Poor Storytelling,SquigglyCrunch,6,27 December 2016,"The Nightmare Before Christmas follows Jack Skellington, a skeleton leading Halloween town who, after having another successful Hallowe'en, discovers Christmas and becomes obsessed with introducing the holiday into his world. The visuals are, to be expected, great. It's a creepy Tim Burton clay-mation movie, what do you expect? The way in which it is done screams the 90s, but despite it's age it holds up very well regardless. The soundtrack is a lot of fun, specifically the opening song. The rest of the songs are worked into the movie very well, and I never dreaded listening to any of them when they did come up. Furthermore, they actually contributed to the story in most cases, so I had to listen anywayHowever, without the visuals this would be a very poor movie. The writing is unnatural a lot of the time, and it features an incredibly forced, out-of-nowhere ending scene. On top of that, there are several points throughout the movie where certain events happen for no reason. Jack and other characters know things they never had the opportunity to learn. Sure, we as the audience can piece together that they went to some other character and figured it out, but because that is never shown and it is somewhat important that they do because of how it will affect the story, I have to assume that they didn't happen and that the writers just didn't know what to do because they were running out of time. Despite this, I more or less enjoyed the movie. I wouldn't say it's good, but it's worth a watch. I'll probably never see it again, and in the end I wouldn't really recommend it.",13,20,The Nightmare Before Christmas
"An Overrated, but Visually Beautiful Classic",SnacksForAll,4,25 September 2005,"Tim Burton's ""The Nightmare Before Christmas"" has gone from a cult status to mainstream classic with 20-somethings (and others) who have fond childhood memories of this film.In true Tim Burton form, however, ""Nightmare,"" is certainly visually stunning, bursting at the seems with raw imagination, and, of course... grossly over-hyped.Once you get past the remarkable and unique animation and visual style, what you're left with is a rather boring tale that you'd frankly have to be under the age of 12 to truly enjoy (I was 11 when I saw it, and didn't like it then, either, so go figure). Sure, the premise is wonderful on paper: The ""king"" of Halloween, akin to Easter's rabbit and Christmas's Santa Claus, becomes disillusioned with Halloween and discovers Christmas, becoming inspired to take over duties for Santa Claus...but royally jeopardizes the new holiday he has grown to love when he kidnaps Saint Nick.Yes, it's definitely a cool idea. To see it play out over the course of an entire feature length film? That's something else entirely. Especially if that film happens to be, essentially, a kid's film (and despite the spooky visuals and dark tones, let's not kid ourselves, this IS a children's film). What starts out as a great idea for a plot turns into a boring and predictable ride through a world you can't wait to get out of. The musical aspect, which is a large part of what makes this film, is another complaint. I'm sorry to say it, but these songs are largely laborious to endure -- contrived pieces that drone on annoyingly and seem rather uninspired. Normally, I'd let this sort of thing go, but when the music is such an integral part of a film (and this film IS a musical), it's hard to ignore. I'm sure many would disagree with me on this, but think about it -- besides the decent ""flagship"" track (""What's this?"") are you really going to catch yourself humming any of the songs from this film after only one or a few viewings the way you hum tracks from Jesus Christ SUPERSTAR or TOMMY? I don't think so.Yes, the film is annoyingly over-hyped, overrated, and to some extent, overdone. All negativity aside, though, I do think this makes a wonderful children's' film -- surely, one of those special flicks we can all relate to that stick with us and perhaps even shape us when we see them in those magical and formative early years. As I mentioned above, the visual style is unforgettable and the tone and feel of ""Nightmare"" accomplish what I believe Tim Burton set out to achieve (as far as ""tone and feel"" are concerned). This is definitely one I think I'd been better served to watch at the age of 4, 5, 6 or 7, but unfortunately it came out a few years too late, I suppose.For kids -- a winner. For adults -- well, bring your watch. You may be checking it a few times.",5,20,The Nightmare Before Christmas
Totally overrated,bazumisha,1,28 March 2021,"Too dark, black and white nonsense...the story lacks substance...totally overrated and boring.",4,19,The Nightmare Before Christmas
Artfully combines two very different holidays,AlsExGal,9,19 October 2010,"Who would ever think that a musical about the overlap between Halloween and Christmas would work? However, it does work with the songs not exactly being Christmas - or Halloween - classics, but fitting the dark mood of this film perfectly.The movie opens with Jack Skellington, AKA the Pumpkin King, facing an identity crisis of sorts. Halloween has just ended in his hometown of Halloween Town, and he has been receiving kudos from everyone in town for making this year's Halloween the scariest ever. But Jack is seeking purpose in his life, and scaring people to death once a year just isn't doing it for him anymore. He takes a walk in the woods and he discovers a group of trees each with doors and different symbols on each door. He opens the door with the tree symbol on it, and finds himself in Christmas Town. While there, he is fascinated by the contrast of Christmas Town with his own world. Jack returns home, along with a sampling of trinkets from Christmas Town, to contemplate the meaning of what he has found there. Ultimately he decides that this year, Halloween Town is going to take charge of Christmas. Jack has also decided that he will replace ""Sandy Claws"" on his yearly sleigh ride, delivering presents to all of the children of the world. All of the citizens of Halloween Town are enthused by the idea except Sally, a creation of Halloween Town's mad scientist, who coincidentally is also looking for something new in her life. She alone sees the danger of Halloween Town hijacking the Christmas holiday.While the Grinch tried to destroy Christmas and came away with a true understanding of the meaning of the holiday, Jack Skellington, with the best of intentions, is on the road to ruin Christmas. In preparation for the big event, he enlists the townspeople to help make toys, and they just can't get the hang of making or doing anything that is not designed to terrify. In fact, when Jack makes his Christmas ride and the town hears on the radio of the terror Jack is causing, they actually see this as a sign of success. To them, horror equals happiness.Like most good films designed for all age groups, the movie is actually weaving a tale on two levels. The story itself is very straightforward so that children can easily follow it. On a second level, there is deft humor and one-liners that are obviously aimed at adults, such as the mayor's plea to Jack -""I'm only an elected official here! I can't make decisions!"" Or when the scientist who created Sally gets tired of her running away and builds a new creation to replace her. This one turns out to be just a female version of the mad scientist himself to which he has endowed half of his own brain. His conclusion is ""You will be a decided improvement over that treacherous Sally. We'll have conversations worth having."" You'll see quite a bit of similarity between the style of art design here and that done in some of Tim Burton's other films, such as ""Beetlejuice"". You'll also probably recognize Danny Elfman's style of score that has come to decorate so many of Burton's other films. I highly recommend this film as great entertainment for the whole family.",13,18,The Nightmare Before Christmas
Beautiful and weird,planktonrules,9,24 October 2005,"Artistically speaking, this is a beautiful film with incredible stop motion camera-work AND a really stylish atmosphere. The characters are really captivating and just plain ""cool"". Halloween Town is also a visual delight. In almost every way I consider this a wonderful film. However, for people like me who are not particularly enamored with musicals, the music is definitely the low-point. It's not that the songs are bad, but that there are so many of them. The dialog is mostly sung and I found it detracted, slightly, from my viewing experience. However, considering that almost all the high school students I teach LOVE this movie, I certainly seem to have the minority opinion. So, for those who are not into musicals, still watch it--you'll enjoy it. But, like me you may also wish they'd done a few less numbers! PS--On the DVD, you also get FRANKENWEENIE (a half hour short) and VINCENT (also a short and the seeming inspiration for NBC). They make this a MUST-HAVE DVD.",13,18,The Nightmare Before Christmas
The biggest fun a movie can give you !!!,Coventry,9,2 October 2003,"I hate myself...This movie has been out since TEN years and I never bothered to watch it earlier. ""Totally not my style"" I thought. Well, I've seldom been more wrong...This movie is everybody's style !!! I think I'll start watching it every year now on the 24th of december...( What can I say, I'm a traditional person :-D ) No seriously, I loved this movie. It gave me a warm feeling, plenty of laughs and a good old portion of sentiment. Heck, I even almost caught myself on singing along. I can assure you this means something !Actually, it's one of the few times the singing in a movie isn't annoying. Tim Burton's style is well presented in this story. Only he can tell a fairy-tale in such a macabre and morbid way. The atmosphere comes very close to that other masterpiece of his, Edward Scissorhands. The coorporation with Danny Elfman only makes the whole finished project more terrific.SPOILERS !!!!!!!!! The story is about Jack Skellington. The pumpkin-king of Halloween town. In this cute little world, a large amount of horrible creatures prepare the celebration of Halloween. After the annual holiday, Jack is a bit disappointed and takes a long walk. He ends up in Christmas town. This village is similar to Halloween town only they're responsible for the preparation of Christmas. Jack is so enthusiast about this that he wants to introduce this idea in Halloween town. Jack is set to replace ""Santa Claws"" and he will ride out to give presents to the children on Christmas evening! END SPOILERS !!!!!!! The characters in this wonderful story are very memorable. The wicked Dr. Finklestein on top. He looks like an evil version of Duckman and he opens his metal skull to scratch his brains. Very funny ! The female he created, Sally, is adorable and she's the greatest tribute to ""The Bride of Frankenstein"" I've ever seen. Many other great references to classic horror films and I always appreciate things like that. The Boogieman, the Mayor, the witch...all these characters deserve their share of credit but I think I'll just stop here and finish by saying that this movie is highly recommended. Favorite ""rewind""-scene: Jack tries to explain the concept of Christmas to rest of his town through a song. They don't see the whole point of it and wonder why this whole thing doesn't involve death or horror. Hilarious !!",12,18,The Nightmare Before Christmas
One of the greatest movies I've ever seen!,KatiesGhost,10,14 August 2008,"I remember when I was in 3rd grade I became obsessed with ""The Nightmare Before Christmas"". I remember telling my friends at school my own ""stories"" of some of the characters. To this day, I still love it.Everything about this movie is excellent, great, beautiful, every positive word you can think of. The songs, the animation, the characters, everything! Let's start with some of them.The songs are excellent and they should've been nominated for an Oscar for Best Songs, and it should've won! My favorite song is Sally's Song, which is just too gorgeous for words. I also love This is Halloween, Kidnap the Sandy Claws (that song is hilarious), and Oogie Boogie Man, which reminds me of a Ray Charles song.The characters are great, too. Jack, who is wise and independent; Sally, who is gorgeous, sweet, and kind; the Mayor, who's chatty and talkative; Lock, Shock, and Barrel, who are mischievous but friendly; Dr. Finkelstein, who's usually grumpy all the time; and of course, the Oogie Boogie Man, who's evil.The animation is gorgeous, not like anything else I've seen. The movie was made in the early '90s and it has the most spectacular animation of any animated movie made in the '90s! This has been one of my favorite animated movies for a long time and it still is. In fact, when I get older and have a career in show business, I'll release an album where I sing songs from ""The Nightmare Before Christmas"". You'll soon see! This is a great movie and one of my favorite movies of all time. Great job, Tim Burton!",11,17,The Nightmare Before Christmas
Not a kids movie,Balnyetnikoff,2,3 November 2020,"This movie is dark, disturbing, and honestly kind of offensive. Filled throughout with horrifying images , this is not a kids movie. Trash.",1,16,The Nightmare Before Christmas
Xmas Comes to Halloweentown,CuriosityKilledShawn,6,19 December 2010,"I abstained from Nightmare Before Christmas for years because (much like The Goonies) it has just been forced into popular culture, where I don't think it belongs. Neither film was massively popular or a critical success on their original release, but somewhere along the line the spirit of the films were hijacked.I hate seeing forlorn-looking, middle-class emo teenagers wearing Jack Skellington T-shirts as much as I hate the same crowd yelling ""Hey you, guys."" Were they even born when these films were made? Back to the film itself, it's a rather simple tale of a Halloween-themed world being exposed to the magic of Christmas. Jack Skellington and the denizens of Halloweentown welcome the magic, but no one really seems to understand that the macabre of Halloween and the Spirit of Christmas are utterly incongruous. I suppose this is a commentary on the inconsistency of what the public desires and how we are all easily programmed to like what the media tells us to like.The thin story is interspersed with several, generic Danny Elfman melodies and songs. The characters are amusing, especially the Mayor of Halloweentown, who's double-sided head periodically rotates between happiness and despair. And the atmosphere is also very nice, but I'm undecided if it's a Halloween film or an Xmas film.Overall, it's good, but not great. It's more like The Trap Door than it's like Wallace and Gromit, but still a pleasant distraction for the Xmas season.",9,16,The Nightmare Before Christmas
Aesthetically pleasing but overrated,borgolarici,5,2 November 2019,"Obligatory premise: I am an adult so my rating could be biased.The movie is very interesting and unique, aesthetically speaking, but the story isn't very interesting. The songs aren't as catchy as I hoped.That's probably the perfect movie for kids from 10 to teens.",6,14,The Nightmare Before Christmas
A ghoulish tale with wicked humour....,Lady_Targaryen,8,25 January 2006,"Jack Skellington is the pumpkin king of Halloween Town. He is very famous in his city and also the object of Sally's affection, a doll that was made by Dr. Finkelstein to serve him. Jack is tired of doing the same presentations every year for the Helloween,and he tries to think about something new, but the inspiration never comes. One day, while walking with his ghost dog, Jack stumbles into Christmas Town by mistake. He stays amazed with what he sees, and decides to copy the idea to do in Helloween town,even kidnapping Santa Claus. He tells the people of his city about his idea, and spite of the fact that they don't get very well the Christmas idea,they help to produce the most strange and bizarre 'toys' for the human kids,like bats,spiders and Gothic dolls. But things are not the way he imagined....",9,14,The Nightmare Before Christmas
"Magic, Tim Burton Style",jhclues,10,21 January 2002,"With the advent of video/DVD, certain movies lend themselves to annual viewing during specific holiday seasons, especially Halloween (It's the Great Pumpkin, Charlie Brown'), Thanksgiving (`Home for the Holidays'), and of course, The Big One, Christmas (Insert your own favorites here); specific films that for whatever reason manifest the spirit of their respective times of the year, and they generally match up one season per film.  Filmmaker Tim Burton, however, has the distinction of having created a singular film to add to this category, unique in that it is suited equally to both Halloween AND Christmas.  And it tops the entire list of the titles of which that can be said; in fact, it IS the list-- there simply are no others.  Burton's brainchild, which had a gestation period of many years before at last being realized in 1993 is, indeed, in a category of it's own.  It is, of course, `The Nightmare Before Christmas,' directed by Henry Selick.	Jack Skellington (Chris Sarandon), the Pumpkin King of Halloween Town, can put the scare on like no one else.  But after years of doing what he does best-- scaring the wits out of children of all ages, everywhere, every Halloween-- he's bored; depressed, even.  There's just no `rush' in it for him anymore.  So, after a particularly unfulfilling Allhallow's Eve, Jack wanders off alone into the night to contemplate his circumstance and his future, whereupon he inadvertently stumbles into `Christmas Town,' and discovers something new (`What's this?  What's this!')-- a different holiday, as well as the celebration that accompanies it.  Most importantly, though, he also discovers his counterpart, the one who is to this holiday what he is to Halloween.  `And they call... him... San-Dee CLAWS!'  And Jack, his eyes and ears filled with the sights and sounds of Christmas, is more excited than he's been in a long, long while.  He doesn't know, yet, what all of this is about, but he's going to find out; and he's already made up his mind:  Whatever it is, it's going to be his!  Sandee Claws, step aside-- Jack Skellington is here!	Through the magic of stop-motion animation, Burton's vision-- his story and the characters who populate his `nightmare'-- comes vividly to life, the process of which is guided along nicely by director Selick.  And what a bunch of characters there are!  Besides Jack (who is, without question, the star of the show), there is the two-faced (literally) Mayor (Glenn Shadix); Dr. Finklestein (wonderfully voiced by William Hickey); Lock, Shock and Barrel (Paul Reubens, Catherine O'Hara, Danny Elfman), the unholy trio who work for the dreadful Mr. Oogie Boogie (Ken Page); and, last but not least, gentle and compassionate Sally (Catherine O'Hara), who cares for Jack and so badly wants to help him find whatever it is he's looking for.  Intriguing characters for a highly original story, imaginatively drawn and presented with care and an expertise that really makes this one work.	Another element that sells it is the engaging score and original songs by Danny Elfman (who also supplies Jack's singing voice).  And Selick uses the music wisely to create an appropriate atmosphere and mood conducive to the storyline.  The songs, especially, are haunting, hypnotic, upbeat and theatrical, and combined with the magic of the splendid visual content, helps set the tone for a rich and thoroughly entertaining experience.	The supporting cast includes (the voices of) Ed Ivory (Santa), Susan McBride (Big Witch), Debi Durst (Corpse Kid/Corpse Mother/Small Witch), Greg Proops (Harlequin Demon/Devil/Sax Player), Kerry Katz (Man Under Stairs/Vampire/Corpse Father), Randy Crenshaw (Mr. Hyde/Behemoth/Vampire), Sherwood Ball (Mummy/ Vampire), Carmen Twillie (Undersea Gal/Man Under the Stairs) and Glenn Waters (Wolfman).  There's a decidedly dark side to this film that may be disturbing to younger viewers, but for those to whom the monster-in-the-closet no longer appears, `The Nightmare Before Christmas' is good for TWO of your favorite holidays (or actually, for any time of the year, for that matter).  Unique, to say the least, this is a fun foray into fantasy that can be enjoyed time and again.  The story, the characters, the images, the songs; it's all magic.  It is, in fact, the magic of the movies. Tim Burton style.  I rate this one 10/10.",9,14,The Nightmare Before Christmas
An animated classic? I think so!,TheLittleSongbird,10,20 December 2009,"I admit it, I really like Tim Burton. I know his films are very oddball, but he has a wide imagination and his films are visually amazing. And I like a vast majority of his films, Edward Scissorhands being my personal favourite, and I love Batman and Batman Returns too. Henry Sellick is also promising, from the likes of James and the Giant Peach and Coraline. The Nightmare Before Christmas is a brilliant film. Is it an animated classic. Yes I think it is! It is wonderfully weird yet lots of fun as well. Visually and technically, the film looks absolutely amazing, with wonderful Gothic backgrounds and detailed colouring. Skellington silhouetted against the moonlight is quite possibly the film's most haunting image. The story is great, about Jack Skellington discovering ChristmasTown but doesn't understand the concept so he kidnaps Santa Claus. And the characters are endearing and weird, ranging from jazz playing zombies, Four-tenor like vampires to a wolf man. Then we have the title characters, Jack Skellington is a wonderful protagonist, really interesting to say the least. And Sally for an inventor's creation is very beautiful. The songs from Danny Elfman(the fact that he didn't get an award for his score for Edward Scissorhands is the biggest music snubs ever) are great fun, haunting, funny, clever and intelligent. The voice acting is top notch, Chris Sarandon does a great job as the speaking voice of Skellington, and Danny Elfman himself provides the singing voice superbly. Catherine O'Hara is sweet and innocent, and Ken Page(the voice of King Gator in All Dogs Go To Heaven) is a hoot as Oogie Boogie. All in all, weird, but visually stunning, funny and intelligent animated movie. A definite classic! 10/10 Bethany Cox",10,13,The Nightmare Before Christmas
It's the music!,david-1976,10,6 November 2006,"I love Tim Burton movies in general, but I think that this one is something special. Not only do I like the characters and the story, but since there are already a bazillion comments about those things, I'd like to point out the prodigious gifts of Danny Elfman, who wrote the songs and the score for this film. He's amazing.Of course, anyone who loves ""The Simpsons"" as much as I do is already an Elfman fan... and as Jack Skellington you can hear just a hint of the singing voice of Sideshow Bob!But it's the music that just blows me away. It ranges in style from the 1920's Kurt Weill- Bertolt Brecht adaptations (right down, on occasion, to the rhythm banjo and mournful alto sax), to the Russian composers, Tchaikovsky, Prokofiev, and Shostakovich, all done with a sense of humor and homage that keeps it fresh, unlike, say, Kander and Ebb, who keep writing Weill-Brecht material to the point that there's more of their music in that particular style than there is by Weill, who figured out by the 1930's that it would only go so far, and who wrote some of the great tunes of the American theatre, as well as the incredible and underrated opera ""Street Scene.""Elfman is a film composer whose work ranks with the best of (and this is high praise, indeed, coming from me) John Williams, Bernard Herrmann, and Erich Wolfgang Korngold. Even if this weren't a wonderful movie to watch (and it is) it would be a wonderful movie to hear.",7,13,The Nightmare Before Christmas
An Oddity,thatgirlmyra-9946,5,3 November 2019,"I didnt enjoy this film at all, but from an objective standpoint, it isnt terribly bad. The storyline is weird, but the acting, animation, and atmosphere is wonderfully executed.All in all, if you like Burton movies, you'll enjoy this one.",5,12,The Nightmare Before Christmas
